B02001_001E,B02001_001M,B02001_002E,B02001_002M,B02001_003E,B02001_003M,B02001_004E,B02001_004M,B02001_005E,B02001_005M,B02001_006E,B02001_006M,B02001_007E,B02001_007M,B02001_008E,B02001_008M,B02001_009E,B02001_009M,B02001_010E,B02001_010M,GEO_ID,NAME
131228,*****,109363,748,12952,1057,108,139,2636,701,0,165,1138,622,5031,1400,313,293,4718,1371,19013,"Black Hawk County, Iowa"
93453,*****,84101,786,2699,286,0,165,4686,682,378,677,249,255,1340,863,379,466,961,740,19049,"Dallas County, Iowa"
97311,*****,89282,731,3823,628,174,194,992,329,597,165,894,784,1549,758,131,168,1418,743,19061,"Dubuque County, Iowa"
151140,*****,122583,1433,10895,1385,427,544,9073,905,82,155,3125,1387,4955,1586,137,168,4818,1573,19103,"Johnson County, Iowa"
226706,*****,197713,2315,12869,2376,952,454,5685,761,0,165,2229,2182,7258,2528,376,393,6882,2489,19113,"Linn County, Iowa"
490161,*****,411634,2255,38150,1497,1852,627,23959,1417,139,232,5161,1939,9266,1966,577,338,8689,1978,19153,"Polk County, Iowa"
93206,*****,87339,656,1961,362,477,280,1199,31,0,165,666,467,1564,557,232,290,1332,462,19155,"Pottawattamie County, Iowa"
172943,*****,147627,949,13359,1477,796,315,5315,247,0,165,1087,679,4759,1437,177,276,4582,1456,19163,"Scott County, Iowa"
97117,*****,81815,473,3084,301,409,278,6628,1327,0,165,1684,519,3497,1469,1100,645,2397,1266,19169,"Story County, Iowa"
103107,*****,88218,1249,3993,971,2002,413,2760,468,0,165,1569,947,4565,1474,285,353,4280,1395,19193,"Woodbury County, Iowa"
